answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
"mac detect state cap lock key follow creat .h / .mm file pair includ file qt pro file follow myfile.h add following. myfile.mm add follow order includ / import important. post veroniqu lefrer qt interest mail list answer wait user press key wait qt::key_capslock type qkeyev handler event filter event qevent::keypress? write kde gener qt kmodifierkeyinfo::iskeylock warn test code sampl sinc seem cross-platform qt-nativ want write sever platform-depend way select right platform case qt forum articl answer put sourc file qt event process file need user press key check upper case shift held.if shift held,and input uppercase,cap lock on.also shift down,and input lowercase,cap lock base ken bloom answer made qt project exampl demonstr key ux pattern relat particularli overrid qdialog::ev catch cap lock everi time critic https://github.com/savolai/qt-widgets-password-dialog-with-caps-lock-check realli comment biber answer enough rep post :p idea someth read never tri :s know shift press seen qt::keyboardmodifi detect qt::keyev ? shift modifi useful.btw saw key call qt::key_capslock detect key event read link bug report link comment narek question seem featur avail think someth similar biber suggest avoid wait user press key mayb fire/simul keyboard event put letter qlineedit check biber said letter upper case shift press then. etc.and final delet content qlineedit hope happen fast enough avoid user notic :p somewhat ugli work around work let know does! sove problem alreadi use qtooltip qt - appli qtooltip qlineedit inform user cap lock stat use cours function get current state getkeystatevk_capit disadvantag work window",2010-06-03 17:29:24.47 UTC,266,2968336,qt-built-in method warn user pop-up window capslock switch password field active? current use good?,0.018796992481203006,5,c++ capslock passwords qt,qt - password field warn caps-lock,2,password|availability,0.43936070799827576
put answer correct function,2013-10-18 09:14:27.347 UTC,88,19445861,base64-encod sha1 hmac found adafruit cryptosuit fork stripped-down sha1 fork cathedrow librari want abl chat arduino python app use base64 encod sha1-hmac signatur howev seem gener consist result arduino follow gener sha1-hmac string test want base64 encod adafruit tweet exampl appear tidi function realis expect sha1-hmac noth els output well look python side output clearli two differ unfortun use arduino/c++ much familiar python side obviou mistak tri librari use inadequ purpose? thank,0.125,11,arduino base64 c c++ python,issu talk arduino sha1-hmac base64 encod python,4,hmac|encode|crypt|signature,0.4366833567619324
relationship smart card token cryptograph provid window capi moreov token support sever provid good practic smart card token develop implement smart card minidriv microsoft base smart card crypto provid obligatorili upd:if sever token plug pc need manual smart card reader properti provid list avail reader got scardlistread function provid mix key reader singl pool,2013-03-19 17:10:14.647 UTC,93,15506077,use ms capi api use usb token digit sign use cryptacquirecontext print name csp avail know csp associ plugged-in usb token? moreov multipl token plug computer? applic suppos choos csp,0.10752688172043011,10,c++ cryptography digital-signature hsm mscapi,identifi csp provid cryptoapi,5,crypt|signing|signature|hsm|availability,0.4271236062049866
search internet found anoth soft token new soft token instead nss new soft token opencryptoki see token fallow link http://www.ibm.com/developerworks/linux/library/s-pkc,2013-05-05 11:24:26.5 UTC,45,16384004,want nss network secur servic use aes function pkcs#11 interfac find exampl c++ call pkcs#11 function,0.17777777777777778,8,aes c++ nss pkcs#11,use nss call pkcs#11 function,4,aes|nss|security|encrypt,0.4166088104248047
,2018-06-22 04:20:41.013 UTC,73,50980632,work minidriv project gener keypair smartcard gener keypair test applic check keypair exist specifi contain name found delet check contain exist name use ncryptopenkey work perfectli return key handl contain avail smartcard minidriv keypair label smart card show dialog select smart card natur show card select dialog? stop show card select dialog minidriver? ncryptopenkey simpli return scard_e_no_key_contain 0x80100030,0.0958904109589041,7,c++ cng cryptoapi cryptography smartcard,stop show smartcard select dialog ncryptopenkey minidriv key contain avail,2,crypt|availability,0.4074397683143616
small updat run error answer question openssl> req -x509 -day 365 -newkey rsa:2048 -keyout any.pem -out any.pem pass phrase = secret openssl> req -new -key -any.pem -out server.csr openssl> x509 -req -in server.csr -signkey any.pem -out rootcert.pem,2017-07-31 19:04:45.567 UTC,67,45423486,"-----begin certificate-----mii . 1ozy-----end certificate----------begin rsa privat key-----proc-typ 4,encrypteddek-info des-ede3-cbc,0950752701cb74af omald . hwh8gkd-----end rsa privat key---",0.2537313432835821,17,c++ poco-libraries ssl,renew expir creat self-sign certif key any.pem poco c++ use openssl,8,ssl|signing|certificate|openssl|rsa|private key|encrypt|cbc,0.40304312109947205
problem buffer restor leav scope file stream creat still hold pointer buffer eventu tri write believ one option make creat class reassign origin buffer scope left exampl use,2014-03-02 06:39:46.973 UTC,288,22124689,redirect standard output data std::ofstream buffer write data file follow code implement implement code singl .cpp itget execut dada gete write file.but follow scenarion differ .cpp function true get call want call whole c++ project ever std::cout&lt;print data\n data print file.but code compil fine run time throw follow error receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10365 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10365 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken.qgtkstyl unabl detect current gtk+ theme.qt session manag error none authent protocol specifi support place follow code main run time std::cout data gete write file ut throw follow error solv error receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10777 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10777 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken.qgtkstyl unabl detect current gtk+ theme.qt session manag error none authent protocol specifi support,0.034722222222222224,10,azure c++ c++11 qt security,redirect std:cout std::ofstream get error,3,security|authentication|signing,0.40163183212280273
crypto++ mention pss emsa openssl support rsa-pss http://www.openssl.org/docs/apps/pkeyutl.html#rsa_algorithm well librari bouncycastl well look http://fixunix.com/openssl/526614-signing-verifying-messages-rsassa-pss.html try implement one look one perfectli work,2011-06-13 11:20:14.227 UTC,51,6329722,need sign data use rsassa-pss emsa-pss encod openssl support algorithm .can tell open sourc librari avail this.,0.39215686274509803,20,c++ digital-signature openssl rsa shared-libraries,librari support rsassa-pss emsa-pss encod techniqu certif validation.,9,signing|signature|openssl|rsa|encode|certificate|validate|availability|crypt,0.3980483114719391
,2019-05-09 17:19:46.287 UTC,68,56064527,seem opencv.j expos flood fill due raw rect pointer signatur base answer tri remov floodfil blacklist white list add line 3587 imgproc.hpp wrapper signatur floodfil copi past answer howev fail error fulli remov wrapper function becom avail javascript call undefin except thrown tri chang signatur wrapper addit dummi int string float custom structur fail compil anyon abl expos floodfil js,0.11764705882352941,8,c++ compilation javascript opencv,anyon abl floodfil opencv.j,5,scripting|signature|blacklist|white list|availability,0.37925463914871216
found bug im realli sure libopenssl bug. problem buffer size evp_max_md_size! opinion strang thing keep size uninitialized! even 0 - size_t size strang thing alloc memori dont understand undefin size memori get alloc realli weird libopenssl intern set size back 0 alloc memori detect brows libopenssl sourc code,2016-12-08 11:00:00.06 UTC,121,41037811,tri gener rsa signatur libopenssl c++:but run code sigabrt deep debug libopenssl intern stuff see segfault come come later first want make clear rsa privatekey success load .pem file im pretti sure problem origin question avoid sigabrt caus ? b.sc thesi realli appreci help signatur gener function rsa* rsapk = dynamic_castpk->createopensslrsakeyobject sigabrt origin file openssl/crypto/mem.c stacktrac stacktrac screenshot debugg clion - gdb base,0.17355371900826447,21,c++ digital-signature openssl rsa,avoid sigabrt gener rsa signatur evp_signfin,5,signing|signature|openssl|rsa|crypt,0.34044209122657776
sometim happen call fals posit viru total see witch av classifi program viru sort thing happen everi fals posit rather anyth flaw program chanc compil program someth common signatur use av tool identifi viru send program av vendor fix signatur av softwar attempt detect secur flaw buffer overrun effect almost softwar detect malwar,2012-10-27 14:43:10.033 UTC,112,13101150,extrem surpris find av program isp base kaperski detect one c++ program i.e test.ex viru code gener visual studio 2010 use debug configur surprisingli releas version viru report viru gen:variant.symmi.3690 result complet dead end googl search howev got think program sort secur flaw e.g buffer overrun av tool believ capabl exploit thought,0.13392857142857142,15,c++ virus,program classifi viru secur flaw,5,virus|security|exploit|signature|malware,0.3230922222137451
